Idx,Entity,Status,SI,GRI,CHI,ESI
43,Cuba,NF,78.24,67.19,69.64,50.0
44,Cyprus,F,63.89,70.62,66.43,100.0
45,Czech Republic,F,50.93,60.21,59.52,62.5
46,Denmark,F,55.56,56.25,54.17,50.0
47,Djibouti,NF,43.52,40.415,44.405,12.5
48,Dominica,F,29.63,43.75,45.24,25.0
49,Dominican Republic,PF,70.37,63.44,68.93,25.0
50,Ecuador,PF,67.59,66.93,65.77,75.0
51,Egypt,NF,60.19,58.33,55.95,75.0
52,El Salvador,PF,47.22,54.17,51.19,75.0
53,Equatorial Guinea,NF,0.0,0.0,0.0,0.0
54,Eritrea,NF,82.41,57.81,62.5,25.0
55,Estonia,F,41.67,41.67,41.55,50.0
56,Eswatini,NF,63.89,55.73,60.12,25.0
57,Ethiopia,NF,51.85,45.31,51.79,0.0
58,Fiji,PF,49.07,58.02,55.6,75.0
59,Finland,F,47.69,51.82,48.51,75.0
60,France,F,60.19,62.24,63.1,50.0
61,Gabon,NF,67.59,68.75,66.67,87.5
62,Georgia,PF,64.81,57.55,61.31,37.5
63,Germany,F,63.89,59.9,62.5,37.5
64,Ghana,F,44.44,43.75,50.0,0.0
65,Greece,F,62.04,64.19,64.29,87.5
66,Grenada,F,0.0,0.0,0.0,0.0
67,Guatemala,PF,51.85,53.23,51.9,62.5
68,Guinea,PF,58.33,50.83,55.65,0.0
69,Guinea-Bissau,PF,0.0,0.0,0.0,0.0
70,Guyana,F,60.19,65.1,68.81,25.0
71,Haiti,PF,37.96,41.67,40.48,50.0
72,Honduras,PF,81.48,69.27,68.45,75.0
73,Hungary,PF,61.11,56.510000000000005,55.36,37.5
74,Iceland,F,40.74,56.15,51.49,87.5
75,India,PF,73.61,68.28,72.44,50.0
76,Indonesia,PF,64.35,55.89,58.51,37.5
77,Iran,NF,60.19,54.69,56.55,37.5
78,Iraq,NF,73.15,61.3,64.7,50.0
79,Ireland,F,72.22,69.79,66.79,100.0
80,Israel,F,62.96,70.83,67.86,75.0
81,Italy,F,72.22,72.92,74.11,75.0
82,Jamaica,F,71.3,67.71,70.24,50.0
83,Japan,F,40.74,47.4,41.07,100.0
84,Jordan,NF,64.815,57.81,60.71,37.5
85,Kazakhstan,NF,68.52,55.47,61.01,25.0
86,Kenya,PF,64.35,56.77,61.31,25.0
87,Kiribati,F,22.22,14.58,16.67,0.0
88,Kosovo,PF,62.04,58.44,59.52,62.5
